ENTRY (NUMBER),First author (name),publication (year),Scientific (Journal),DOI (number),matrix (used),Sample name (tag),PFAS (abreviation),PFAS (Subfamily),Empirical (Formula),MW ([g/mol]),pKa1 ([-]),pKa2 ([-]),f(+) ([-]),f(+-) ([-]),f(- + -) ([-]),f(-) ([-]),f(- -) ([-]),f (0) ([-]),sum ([-]),charge [+] / mol ([C/mol]),charge [-] / mol ([C/mol]),Effective MW ([g/mol]),Faraday (C/mol),net charge density ([C/g]),C number ([n]),F number ([n]),C/F ([-]),%F ([%]),CF2 ([n]),log (S),log (Kow),pH (measured),pH (method),Fe ((g/kg)),Fe ((mmol/kg)),Fe (%),Al ((g/kg)),Al ((mmol/kg)),Al (%),Fe/Al (method),CEC (cmol+/kg),CEC (method),Sand (% mineral),Silt (% mineral),Clay (% mineral),Texture (method),Sum (% mineral),Corg (%),foc (Contact solution),Batch information (g/L),SL min (g/L),SL max (ppb),Cin min (ppb),Cin max (L/Kg),Kd (L/Kg OC),Koc ([-]),log Koc ([-]),log Kd (from literature studies),Comments on the derivation of Kd (reported),KFr (reported units),KFr ([-]),1/n ((ug/kg)/(ug/L)^(1/n)),Harmonized KFr (ug/L),Cw (ug/kg),Cs (L/kg),Kd,,,,,,,,,,,,,,,,,,,
1259,Lee and Mabury,2017,Environmental Science and Technology,10.1021/acs.est.6b04395,soil,F,C6/6 PFPiA,PFPiA,C12F26HO2P,702,0.9,-,0,0,0,0.99999369046636566,0,6.3095336343360639E-6,1,0,-0.99999369046636566,701.00000630953366,96485,-137.63821734124724,12,26,0.291497975708502,70.370370370370367,12,-1.4135252214286034,8,6.1,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,24.2,Non reported,10,61,27,Non reported,98,2.63,2.63E-2,10 mM CaCl2 + 0.1 mM HgCl2,100,-,500,50000,39.810717055349755,1513.7154773897246,3.1800442515102425,1.6000000000000003,Reported Kd at Cin = 10 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,Lee and Mabury,2017,Environmental Science and Technology,10.1021/acs.est.6b04395,soil,G,C6/6 PFPiA,PFPiA,C12F26HO2P,702,0.9,-,0,0,0,0.99974887443673854,0,2.5112556326146155E-4,1,0,-0.99974887443673854,701.0002511255633,96485,-137.60447302999702,12,26,0.291497975708502,70.370370370370367,12,-1.4135252214286034,8,4.5,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,21.496500000000001,KNN input,41.737499999999997,35.036999999999999,21.971,KNN input,98.745499999999993,45.7,0.45700000000000002,10 mM CaCl2 + 0.1 mM HgCl2,100,-,500,50000,95.499258602143655,208.96993129571916,2.32008379993015,1.9800000000000002,Reported Kd at Cin = 10 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,Lee and Mabury,2017,Environmental Science and Technology,10.1021/acs.est.6b04395,soil,A,C6/8 PFPiA,PFPiA,C14F30HO2P,802,0.9,-,0,0,0,0.99994988378839778,0,5.0116211602181963E-5,1,0,-0.99994988378839778,801.00005011621158,96485,-120.44963608095395,12,26,0.291497975708502,61.596009975062351,12,-3.2265792767093902,9.4,5.2,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,9.6,Non reported,63,32,5,Non reported,100,1,0.01,10 mM CaCl2 + 0.1 mM HgCl2,100,-,500,50000,33.884415613920268,3388.4415613920269,3.5300000000000002,1.5300000000000002,Reported Kd at Cin = 10 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,Lee and Mabury,2017,Environmental Science and Technology,10.1021/acs.est.6b04395,soil,B,C6/8 PFPiA,PFPiA,C14F30HO2P,802,0.9,-,0,0,0,0.99999800474166611,0,1.9952583339051196E-6,1,0,-0.99999800474166611,801.00000199525846,96485,-120.45543975925085,12,26,0.291497975708502,61.596009975062351,12,-3.2265792767093902,9.4,6.6,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,33.5,Non reported,25,38,37,Non reported,100,1.1000000000000001,1.1000000000000001E-2,10 mM CaCl2 + 0.1 mM HgCl2,100,-,500,50000,389.04514499428063,35367.740454025508,4.5486073148417754,2.59,Reported Kd at Cin = 10 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,Lee and Mabury,2017,Environmental Science and Technology,10.1021/acs.est.6b04395,soil,C,C6/8 PFPiA,PFPiA,C14F30HO2P,802,0.9,-,0,0,0,0.9999992056723962,0,7.9432760376743793E-7,1,0,-0.9999992056723962,801.00000079432755,96485,-120.45558459877648,12,26,0.291497975708502,61.596009975062351,12,-3.2265792767093902,9.4,7,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,23.3,Non reported,28,48,22,Non reported,98,1.1000000000000001,1.1000000000000001E-2,10 mM CaCl2 + 0.1 mM HgCl2,100,-,500,50000,338.84415613920248,30804.014194472951,4.4886073148417749,2.5299999999999998,Reported Kd at Cin = 10 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,Lee and Mabury,2017,Environmental Science and Technology,10.1021/acs.est.6b04395,soil,D,C6/8 PFPiA,PFPiA,C14F30HO2P,802,0.9,-,0,0,0,0.99874265748864466,0,1.2573425113552919E-3,1,0,-0.99874265748864466,801.00125734251139,96485,-120.30403750862826,12,26,0.291497975708502,61.596009975062351,12,-3.2265792767093902,9.4,3.8,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,23.89,Non reported,53,41,6,Non reported,100,3.6,3.6000000000000004E-2,10 mM CaCl2 + 0.1 mM HgCl2,100,-,500,50000,30.902954325135919,858.41539792044205,2.9336974992327129,1.4900000000000002,Reported Kd at Cin = 10 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,Lee and Mabury,2017,Environmental Science and Technology,10.1021/acs.est.6b04395,soil,E,C6/8 PFPiA,PFPiA,C14F30HO2P,802,0.9,-,0,0,0,0.99968387220237043,0,3.1612779762961706E-4,1,0,-0.99968387220237043,801.00031612779765,96485,-120.41755348577993,12,26,0.291497975708502,61.596009975062351,12,-3.2265792767093902,9.4,4.4000000000000004,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,11.3,Non reported,58,20,22,Non reported,100,10.199999999999999,0.10199999999999999,10 mM CaCl2 + 0.1 mM HgCl2,100,-,500,50000,234.42288153199232,2298.2635444312973,3.3613998282380826,2.37,Reported Kd at Cin = 10 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,Lee and Mabury,2017,Environmental Science and Technology,10.1021/acs.est.6b04395,soil,F,C6/8 PFPiA,PFPiA,C14F30HO2P,802,0.9,-,0,0,0,0.99999369046636566,0,6.3095336343360639E-6,1,0,-0.99999369046636566,801.00000630953366,96485,-120.45491943150176,12,26,0.291497975708502,61.596009975062351,12,-3.2265792767093902,9.4,6.1,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,24.2,Non reported,10,61,27,Non reported,98,2.63,2.63E-2,10 mM CaCl2 + 0.1 mM HgCl2,100,-,500,50000,141.25375446227542,5370.8651886796742,3.7300442515102423,2.15,Reported Kd at Cin = 10 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,Lee and Mabury,2017,Environmental Science and Technology,10.1021/acs.est.6b04395,soil,G,C6/8 PFPiA,PFPiA,C14F30HO2P,802,0.9,-,0,0,0,0.99974887443673854,0,2.5112556326146155E-4,1,0,-0.99974887443673854,801.0002511255633,96485,-120.42539314373785,12,26,0.291497975708502,61.596009975062351,12,-3.2265792767093902,9.4,4.5,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,21.496500000000001,KNN input,41.737499999999997,35.036999999999999,21.971,KNN input,98.745499999999993,45.7,0.45700000000000002,10 mM CaCl2 + 0.1 mM HgCl2,100,-,500,50000,104.71285480508998,229.13097331529534,2.3600837999301501,2.02,Reported Kd at Cin = 10 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,Lee and Mabury,2017,Environmental Science and Technology,10.1021/acs.est.6b04395,soil,A,C8/8 PFPiA,PFPiA,C16F34HO2P,902,0.9,-,0,0,0,0.99994988378839778,0,5.0116211602181963E-5,1,0,-0.99994988378839778,901.00005011621147,96485,-107.0811977478575,12,26,0.291497975708502,54.767184035476724,12,-5.0477889418913309,10.7,5.2,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,9.6,Non reported,63,32,5,Non reported,100,1,0.01,10 mM CaCl2 + 0.1 mM HgCl2,100,-,500,50000,125.89254117941677,12589.254117941677,4.1000000000000005,2.1,Reported Kd at Cin = 10 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,Lee and Mabury,2017,Environmental Science and Technology,10.1021/acs.est.6b04395,soil,B,C8/8 PFPiA,PFPiA,C16F34HO2P,902,0.9,-,0,0,0,0.99999800474166611,0,1.9952583339051196E-6,1,0,-0.99999800474166611,901.00000199525834,96485,-107.08635657473332,12,26,0.291497975708502,54.767184035476724,12,-5.0477889418913309,10.7,6.6,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,33.5,Non reported,25,38,37,Non reported,100,1.1000000000000001,1.1000000000000001E-2,10 mM CaCl2 + 0.1 mM HgCl2,100,-,500,50000,162.18100973589304,14743.728157808457,4.1686073148417746,2.21,Reported Kd at Cin = 10 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,Lee and Mabury,2017,Environmental Science and Technology,10.1021/acs.est.6b04395,soil,C,C8/8 PFPiA,PFPiA,C16F34HO2P,902,0.9,-,0,0,0,0.9999992056723962,0,7.9432760376743793E-7,1,0,-0.9999992056723962,901.00000079432766,96485,-107.0864853210204,12,26,0.291497975708502,54.767184035476724,12,-5.0477889418913309,10.7,7,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,23.3,Non reported,28,48,22,Non reported,98,1.1000000000000001,1.1000000000000001E-2,10 mM CaCl2 + 0.1 mM HgCl2,100,-,500,50000,660.69344800759643,60063.040727963307,4.7786073148417749,2.8200000000000003,Reported Kd at Cin = 10 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
1271,Lee and Mabury,2017,Environmental Science and Technology,10.1021/acs.est.6b04395,soil,D,C8/8 PFPiA,PFPiA,C16F34HO2P,902,0.9,-,0,0,0,0.99874265748864466,0,1.2573425113552919E-3,1,0,-0.99874265748864466,901.00125734251128,96485,-106.95177672894155,12,26,0.291497975708502,54.767184035476724,12,-5.0477889418913309,10.7,3.8,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,23.89,Non reported,53,41,6,Non reported,100,3.6,3.6000000000000004E-2,10 mM CaCl2 + 0.1 mM HgCl2,100,-,500,50000,20.4173794466953,567.14942907486932,2.7536974992327128,1.31,Reported Kd at Cin = 10 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,Lee and Mabury,2017,Environmental Science and Technology,10.1021/acs.est.6b04395,soil,E,C8/8 PFPiA,PFPiA,C16F34HO2P,902,0.9,-,0,0,0,0.99968387220237043,0,3.1612779762961706E-4,1,0,-0.99968387220237043,901.00031612779765,96485,-107.05267987471453,12,26,0.291497975708502,54.767184035476724,12,-5.0477889418913309,10.7,4.4000000000000004,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,11.3,Non reported,58,20,22,Non reported,100,10.199999999999999,0.10199999999999999,10 mM CaCl2 + 0.1 mM HgCl2,100,-,500,50000,154.8816618912482,1518.4476656004726,3.1813998282380829,2.1900000000000004,Reported Kd at Cin = 10 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
1273,Lee and Mabury,2017,Environmental Science and Technology,10.1021/acs.est.6b04395,soil,F,C8/8 PFPiA,PFPiA,C16F34HO2P,902,0.9,-,0,0,0,0.99999369046636566,0,6.3095336343360639E-6,1,0,-0.99999369046636566,901.00000630953355,96485,-107.08589406102691,12,26,0.291497975708502,54.767184035476724,12,-5.0477889418913309,10.7,6.1,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,24.2,Non reported,10,61,27,Non reported,98,2.63,2.63E-2,10 mM CaCl2 + 0.1 mM HgCl2,100,-,500,50000,64.565422903465588,2454.959045759148,3.3900442515102425,1.8100000000000003,Reported Kd at Cin = 10 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,Lee and Mabury,2017,Environmental Science and Technology,10.1021/acs.est.6b04395,soil,G,C8/8 PFPiA,PFPiA,C16F34HO2P,902,0.9,-,0,0,0,0.99974887443673854,0,2.5112556326146155E-4,1,0,-0.99974887443673854,901.00025112556318,96485,-107.0596484623909,12,26,0.291497975708502,54.767184035476724,12,-5.0477889418913309,10.7,4.5,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,Non reported,21.496500000000001,KNN input,41.737499999999997,35.036999999999999,21.971,KNN input,98.745499999999993,45.7,0.45700000000000002,10 mM CaCl2 + 0.1 mM HgCl2,100,-,500,50000,100,218.81838074398249,2.3400837999301496,2,Reported Kd at Cin = 10 mg/L,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
